PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Ejecutivo;Agricultura;LORETO;MAYNAS;IQUITOS;PROYECTO ESPECIAL DESARROLLO INTEGRAL DE LA CUENCA DEL RIO PUTUMAYO ;20207736261
Poder Ejecutivo;Agricultura;CAJAMARCA;JAEN;JAEN;PROYECTO ESPECIAL JAEN SAN IGNACIO BAGUA ;20187384142
Poder Ejecutivo;Agricultura;CAJAMARCA;CAJAMARCA;CAJAMARCA;PROYECTO ESPECIAL JEQUETEPEQUE ZAÑA ;20156046974
Poder Ejecutivo;Agricultura;JUNIN;CHANCHAMAYO;CHANCHAMAYO;PROYECTO ESPECIAL PICHIS PALCAZU ;20204060623
Poder Ejecutivo;Agricultura;AYACUCHO;HUAMANGA;AYACUCHO;PROYECTO ESPECIAL SIERRA CENTRO SUR ;20143122850
Poder Ejecutivo;Agricultura;LIMA;LIMA;LA MOLINA;SERVICIO NACIONAL DE SANIDAD AGRARIA DEL PERU ;20131373075
Poder Ejecutivo;Agricultura;LIMA;LIMA;MAGDALENA DEL MAR;SERVICIO NACIONAL FORESTAL Y DE FAUNA SILVESTRE ;20562836927
Poder Ejecutivo;Agricultura;LIMA;LIMA;SAN ISIDRO;SIERRA Y SELVA  EXPORTADORA ;20514859559
Poder Ejecutivo;Agricultura;NULL;NULL;NULL;UNIDAD EJECUTORA 001631 GESTION DE PROYECTOS SECTORIALES ;No identificado
Poder Ejecutivo;Agricultura;LIMA;LIMA;SAN ISIDRO;UNIDAD EJECUTORA 002 - MODERNIZACION DE LA GESTION DE LOS RECURSOS HIDRICOS ;20536909126
Poder Ejecutivo;Agricultura;LIMA;LIMA;JESUS MARIA;UNIDAD EJECUTORA FONDO SIERRA AZUL ;No identificado
Poder Ejecutivo;Comercio Exterior y Turismo;LIMA;LIMA;SAN ISIDRO;MINISTERIO DE COMERCIO EXTERIOR  Y TURISMO ;20504774288
Poder Ejecutivo;Comercio Exterior y Turismo;LIMA;LIMA;SAN ISIDRO;PLAN COPESCO NACIONAL ;20511035997
Poder Ejecutivo;Cultura;CUSCO;CUSCO;CUSCO;ACADEMIA MAYOR DE LA LENGUA QUECHUA ;20226210505
Poder Ejecutivo;Cultura;LIMA;LIMA;LIMA;ARCHIVO GENERAL DE LA NACION ;20131370726
Poder Ejecutivo;Cultura;LIMA;LIMA;SAN BORJA;BIBLIOTECA NACIONAL DEL PERU ;20131379863
Poder Ejecutivo;Cultura;LIMA;LIMA;LIMA;INSTITUTO NACIONAL DE RADIO Y TELEVISION DEL PERU ;20338915471
Poder Ejecutivo;Cultura;LIMA;LIMA;SAN BORJA;MINISTERIO DE CULTURA ;20537630222
Poder Ejecutivo;Cultura;CAJAMARCA;CONTUMAZA;CONTUMAZA;UNIDAD DE GESTION EDUCATIVA LOCAL CONTUMAZA ;20529675896
Poder Ejecutivo;Cultura;CUSCO;CUSCO;CUSCO;UNIDAD EJECUTORA 002 MC-CUSCO ;20490345397
Poder Ejecutivo;Cultura;LIMA;LIMA;LA MOLINA;UNIDAD EJECUTORA 003 - ZONA ARQUEOLOGICA CARAL/MC ;No identificado
Poder Ejecutivo;Cultura;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;UNIDAD EJECUTORA 005 PROYECTO ESPECIAL NAYLAMP - LAMBAYEQUE ;20480108222
Poder Ejecutivo;Cultura;LIMA;LIMA;SAN BORJA;UNIDAD EJECUTORA 008 PROYECTOS ESPECIALES DEL PLIEGO 003 ;No identificado
Poder Ejecutivo;Cultura;LA LIBERTAD;TRUJILLO;TRUJILLO;UNIDAD EJECUTORA 009 - LA LIBERTAD ;20600418131
Poder Ejecutivo;Defensa;LIMA;LIMA;JESUS MARIA;AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS ;20556939781
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN ISIDRO;CAJA DE PENSIONES MILITAR POLICIAL ;20108068281
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN ISIDRO;CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES ;20543891755
Poder Ejecutivo;Defensa;LIMA;LIMA;LIMA;COMANDO CONJUNTO DE LAS FUERZAS ARMADAS ;20131380870
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN ISIDRO;COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL ;20131371889
Poder Ejecutivo;Defensa;LIMA;LIMA;SANTIAGO DE SURCO;COMITE DE PREVENCION Y CONTROL VIH/SIDA FFAA Y PNP ;No identificado
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN BORJA;EJERCITO DEL PERU ;20131369124
Poder Ejecutivo;Defensa;CALLAO;CALLAO;CALLAO;ESCUELA NACIONAL DE MARINA MERCANTE ;20131379430
Poder Ejecutivo;Defensa;LIMA;LIMA;LURIGANCHO;FABRICA DE ARMAS Y MUNICIONES DEL EJERCITO S.A.C. ;20522449271
Poder Ejecutivo;Defensa;LIMA;LIMA;JESUS MARIA;FUERZA AEREA DEL PERU ;20144364059
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN MIGUEL;INSTITUTO DE TRANSPLANTES DE ORGANOS Y TEJIDOS DE LAS FFAA Y PNP ;No identificado
Poder Ejecutivo;Defensa;LIMA;LIMA;SURQUILLO;INSTITUTO GEOGRAFICO NACIONAL ;20301053623
Poder Ejecutivo;Defensa;LIMA;LIMA;SAN ISIDRO;INSTITUTO NACIONAL DE DEFENSA CIVIL ;20135890031
Poder Ejecutivo;Defensa;CALLAO;CALLAO;LA PERLA;MARINA DE GUERRA DEL PERU ;20153408191
Poder Ejecutivo;Defensa;LIMA;LIMA;JESUS MARIA;MINISTERIO DE DEFENSA ;20131367938
Poder Ejecutivo;Defensa;LIMA;LIMA;JESUS MARIA;OFICINA PREVISIONAL DE LAS FUERZAS ARMADAS ;20505752253
Poder Ejecutivo;Defensa;LIMA;LIMA;LIMA;SECRETARIA DE SEGURIDAD Y DEFENSA NACIONAL ;No identificado
Poder Ejecutivo;Defensa;LORETO;MAYNAS;PUNCHANA;SERVICIOS INDUSTRIALES DE LA MARINA IQUITOS S.R.LTDA. ;20203866497
Poder Ejecutivo;Defensa;CALLAO;CALLAO;CALLAO;SERVICIOS INDUSTRIALES DE LA MARINA S.A. ;20100003351
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN ISIDRO;AGENCIA DE PROMOCION DE LA INVERSION PRIVADA ;20380799643
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN ISIDRO;BANCO AGROPECUARIO ;20504565794
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN BORJA;BANCO DE LA NACION ;20100030595
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN ISIDRO;CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS ;20600927818
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;CONSEJO NACIONAL DE LA COMPETITIVIDAD Y FORMALIZACION ;No identificado
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN ISIDRO;CORPORACION FINANCIERA DE DESARROLLO S.A. ;20100116392
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;EMPRESA PERUANA DE SERVICIOS EDITORIALES S.A. ;20100072751
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;FONDO CONSOLIDADO DE RESERVAS PREVISIONALES ;20421413216
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;SAN ISIDRO;FONDO NACIONAL DE FINANCIAMIENTO DE LA ACTIVIDAD EMPRESARIAL DEL ESTADO ;20458605662
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;MINISTERIO DE ECONOMIA Y FINANZAS ;20131370645
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;OFICINA DE NORMALIZACION PREVISIONAL ;20254165035
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;JESUS MARIA;ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO ;20419026809
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;MAGDALENA DEL MAR;SECRETARIA TECNICA DEL CONSEJO FISCAL ;20601644691
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;MIRAFLORES;SUPERINTENDENCIA DEL MERCADO DE VALORES ;20131016396
Poder Ejecutivo;Economía y Finanzas;LIMA;LIMA;LIMA;SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA ;20131312955
Poder Ejecutivo;Energía y Minas;LIMA;LIMA;SAN JUAN DE MIRAFLORES;ACTIVOS MINEROS S.A.C ;20103030791
Poder Ejecutivo;Energía y Minas;LIMA;LIMA;SAN BORJA;DIRECCION GENERAL DE ELECTRIFICACION RURAL ;20517754499
